MachineID,BatchID,OperatingTime,Downtime,ActualOutput,IdealOutput,GoodUnits,TotalUnits,OEE,TrueAnomaly
1,35,6.16,0.72,820,936,781,820,74.71,0
2,47,5.55,1.82,905,977,825,905,63.59,0
1,42,6.64,1.24,1013,1025,941,1013,77.36,0
4,40,7.04,0.62,846,916,818,846,82.07,0
2,10,5.03,1.47,933,945,868,933,71.08,0
3,46,7.86,0.11,1029,1073,903,1029,83.0,0
2,40,6.73,1.3,778,905,722,778,66.86,0
4,12,7.53,0.59,793,931,754,793,75.1,0
2,25,5.94,1.13,723,851,664,723,65.55,0
3,29,7.43,0.42,910,1023,847,910,78.37,0
2,25,6.52,1.57,806,887,726,806,65.96,0
3,24,7.62,0.47,910,987,820,910,78.25,0
3,21,7.58,0.04,938,997,867,938,86.5,0
1,22,6.91,0.51,905,1051,850,905,75.32,0
4,16,7.68,0.98,916,931,879,916,83.73,0
2,41,6.6,1.66,735,845,677,735,64.02,0
2,8,6.75,1.18,752,806,692,752,73.08,0
1,43,6.48,0.86,1017,1028,946,1017,81.24,0
4,35,6.3,0.87,823,929,787,823,74.44,0
3,19,7.33,0.31,970,1008,853,970,81.19,0
2,49,6.09,1.68,817,937,741,817,61.98,0
1,24,7.57,0.77,866,936,819,866,79.42,0
2,12,5.44,1.95,807,944,765,807,59.65,0
2,1,5.53,1.92,798,816,723,798,65.77,0
4,9,7.57,0.95,809,946,776,809,72.88,0
2,1,5.7,1.66,808,853,764,808,69.37,0
3,24,7.21,0.46,947,1089,890,947,76.82,0
1,15,6.38,0.62,907,1051,862,907,74.75,0
4,12,6.84,0.57,886,965,852,886,81.5,0
3,41,7.46,0.35,994,1056,940,994,85.03,0
4,28,6.44,0.77,796,924,774,796,74.82,0
3,14,7.31,0.49,897,980,845,897,80.81,0
2,40,6.72,1.47,723,842,653,723,63.63,0
1,7,6.81,1.28,863,945,809,863,72.06,0
2,16,5.35,1.27,969,970,890,969,74.15,0
1,24,7.0,0.87,995,1037,928,995,79.6,0
1,8,8.12,0.94,987,1083,909,987,75.23,0
2,37,6.97,1.47,865,990,787,865,65.65,0
3,18,7.41,0.45,1013,1094,931,1013,80.23,0
1,32,8.58,0.61,982,1012,933,982,86.07,0
2,39,6.96,1.03,716,821,665,716,70.56,0
3,22,7.06,0.14,905,978,837,905,83.92,0
3,25,7.83,0.27,942,971,818,942,81.43,0
1,45,8.02,1.45,832,941,780,832,70.2,0
3,8,7.04,0.18,1032,1050,901,1032,83.67,0
2,48,5.16,1.08,809,941,767,809,67.4,0
2,14,5.26,1.77,870,884,804,870,68.05,0
2,1,5.33,1.1,744,836,672,744,66.63,0
2,44,6.35,1.44,921,979,860,921,71.61,0
1,36,7.32,0.79,975,1077,914,975,76.6,0
1,14,7.66,1.04,890,986,838,890,74.83,0
2,20,6.56,1.15,831,944,786,831,70.84,0
3,20,7.32,0.45,905,909,853,905,88.4,0
4,34,7.14,0.76,784,908,761,784,75.75,0
1,48,7.53,0.5,1037,1065,967,1037,85.14,0
